subcategory,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AI & Digital Twin Integration,0.2857142857142857,0.3987341772151899,0.3387096774193548,0.4523809523809524,0.5242369838420108,0.5176803394625177,0.5825156110615521,0.603448275862069,0.6051136363636364,0.5806451612903226,0.5949943117178612,0.654042988741044
Hardware & Equipment,0.5807590467784642,0.6132148377125193,0.5832975525976815,0.5769296888430463,0.5429372012526784,0.5225208526413345,0.5515374621048073,0.548062015503876,0.4897959183673469,0.5243693362723487,0.5306766055045872,0.5634191176470589
"Hardware, Sensors & Equipment",0.5565897244973939,0.5716705483802668,0.5721096543504172,0.6019954789929067,0.5372731363431829,0.49361035534668973,0.4904847019240879,0.5169016012043246,0.4750258353427489,0.49207708779443254,0.47521808088818396,0.6085966410475377
Materials,0.5503156331229112,0.6151147098515519,0.5997423446635616,0.6306168015629361,0.609795087923267,0.5930485155684286,0.6199617534568991,0.5945243317897473,0.5801044242923881,0.6027598687931229,0.5772211614062676,0.6495939002154815
Other,0.4412968209002203,0.4033478893740903,0.4477042687399149,0.4662731871838111,0.432805883663918,0.4127921588338779,0.42990211556678243,0.45247632920611797,0.4437003968253968,0.4269898264512268,0.4174757281553398,0.5029425079221367
Post-Processing Techniques,0.36363636363636365,0.4246031746031746,0.39191564147627417,0.4445454545454545,0.4493801652892562,0.41429731925264013,0.45791245791245794,0.44504896626768226,0.4484167517875383,0.4503901895206243,0.41637010676156583,0.5037735849056604
Printing Processes,0.5176470588235295,0.5026525198938993,0.5349794238683128,0.585948905109489,0.5237291710609576,0.5546188340807174,0.5451455279371149,0.534980323567993,0.508035957504767,0.4848584595128374,0.46930280957336107,0.5416666666666666
Process Monitoring & Control,0.3548387096774194,0.36627906976744184,0.41904761904761906,0.3617021276595745,0.30855855855855857,0.3363728470111449,0.393239901071723,0.3795289855072464,0.39075249320036265,0.3609172482552343,0.42178447276940906,0.44047619047619047
"Software, Firmware & Design Tools",0.45164003364171573,0.4286236519831841,0.44192634560906513,0.4511573737079633,0.4388301944572041,0.43141558237968336,0.49162700511193375,0.49851945854483926,0.5047923322683706,0.4781736076266934,0.5002949852507375,0.5537392725786677
