subcategory,Academic Institutions,Aerospace,Architectural,Consumer Products / Electronics,Government / Military,Home & DIY (Consumer / Hobbyist),Industrial / Business Machines,Medical / Dental,Motor Vehicles / Automotive,Other,Power / Energy
Academic Institutions,1.0,0.7916561732535162,0.8463680396609481,0.6048021141759065,0.2507443521081993,0.20691675446394225,0.9592478988345804,0.6533005023020909,0.8443238908465471,0.5843820578419785,0.8153804632448947
Aerospace,0.7916561732535162,1.0,0.8043526481573597,0.8757660816393184,0.2829042503716836,-0.05236324285959168,0.8076057073973326,0.6707956212157109,0.8760504083966806,0.8268952988021604,0.7200386362223413
Architectural,0.8463680396609481,0.8043526481573597,1.0,0.7081839958279741,0.28831632432847487,0.2686195949926643,0.8733812790035573,0.6068968341966975,0.8712988863132775,0.6657853032812732,0.8024543239802436
Consumer Products / Electronics,0.6048021141759065,0.8757660816393184,0.7081839958279741,1.0,0.37045970769373415,-0.1960063846011447,0.6677842397382937,0.6725766126610465,0.8864682072549109,0.9766764198523935,0.555407671352367
Government / Military,0.2507443521081993,0.2829042503716836,0.28831632432847487,0.37045970769373415,1.0,-0.15693127734076126,0.22065654524753,0.2299894917431314,0.27405050036423845,0.47990637280980786,0.1407991414315332
Home & DIY (Consumer / Hobbyist),0.20691675446394225,-0.05236324285959168,0.2686195949926643,-0.1960063846011447,-0.15693127734076126,1.0,0.2589205044157285,0.1648907561412656,0.032356090501884746,-0.2257569182753614,0.5673625797639194
Industrial / Business Machines,0.9592478988345804,0.8076057073973326,0.8733812790035573,0.6677842397382937,0.22065654524753,0.2589205044157285,1.0,0.8033912851849772,0.903575732048087,0.6568856843141468,0.8931689892058053
Medical / Dental,0.6533005023020909,0.6707956212157109,0.6068968341966975,0.6725766126610465,0.2299894917431314,0.1648907561412656,0.8033912851849772,1.0,0.7988802104645587,0.6674390580605922,0.781596045148414
Motor Vehicles / Automotive,0.8443238908465471,0.8760504083966806,0.8712988863132775,0.8864682072549109,0.27405050036423845,0.032356090501884746,0.903575732048087,0.7988802104645587,1.0,0.8471163344752866,0.7868261457860647
Other,0.5843820578419785,0.8268952988021604,0.6657853032812732,0.9766764198523935,0.47990637280980786,-0.2257569182753614,0.6568856843141468,0.6674390580605922,0.8471163344752866,1.0,0.514600880956891
Power / Energy,0.8153804632448947,0.7200386362223413,0.8024543239802436,0.555407671352367,0.1407991414315332,0.5673625797639194,0.8931689892058053,0.781596045148414,0.7868261457860647,0.514600880956891,1.0
